,Link,Name,Description,Price,Sale_Price
131,https://www.nike.com/in/t/dri-fit-tempo-icon-clash-2-in-1-running-shorts-DdTz90/DD6949-010,Nike Dri-FIT Tempo Icon Clash,Women's 2-In-1 Running Shorts,"2,095","1,677"
132,https://www.nike.com/in/t/air-older-french-terry-shorts-ckT0WH/DM8086-407,Nike Air,Older Kids' (Boys') French Terry Shorts,"2,395","1,917"
133,https://www.nike.com/in/t/nikecourt-slam-tennis-polo-8fxSng/DD8310-634,NikeCourt Slam,Men's Tennis Polo,"4,995","3,997"
134,https://www.nike.com/in/t/liverpool-fc-older-dri-fit-pre-match-football-top-hbTnMr/DB7701-017,Liverpool F.C.,Older Kids' Nike Dri-FIT Pre-Match Football Top,"2,995","2,397"
135,https://www.nike.com/in/t/air-older-t-shirt-SXMZQK/DO1814-010,Nike Air,Older Kids' (Boys') T-Shirt,"1,195",957
136,https://www.nike.com/in/t/fc-t-shirt-ff4Gks/DH7445-010,Nike F.C.,Men's T-Shirt,"1,795","1,437"
137,https://www.nike.com/in/t/revolution-6-older-road-running-shoes-RmdT3m/DD1096-006,Nike Revolution 6,Older Kids' Road Running Shoes,"3,495","2,797"
138,https://www.nike.com/in/t/lebron-18-dynasty-basketball-shoes-JNqV61/CQ9283-006,LeBron 18 'Dynasty',Basketball Shoes,"17,595","14,077"
139,https://www.nike.com/in/t/air-max-dawn-shoes-LVntLp/DC4068-601,Nike Air Max Dawn,Women's Shoes,"9,295","7,437"
140,https://www.nike.com/in/t/flex-stride-18cm-brief-running-shorts-8RFR7H/CJ5460-010,Nike Flex Stride,Men's 18cm (approx.) Brief Running Shorts,"2,795","2,237"
141,https://www.nike.com/in/t/air-older-pullover-hoodie-rH84mH/DM8109-407,Nike Air,Older Kids' (Boys') Pullover Hoodie,"3,695","2,957"
142,https://www.nike.com/in/t/revolution-6-younger-shoes-d8d8lG/DD1095-005,Nike Revolution 6,Younger Kids' Shoes,"3,495","2,797"
143,https://www.nike.com/in/t/sportswear-tech-fleece-graphic-hoodie-CL25J8/DM6475-072,Nike Sportswear Tech Fleece,Men's Graphic Full-Zip Hoodie,"8,995","7,197"
144,https://www.nike.com/in/t/waffle-one-older-shoes-TfBL7B/DC0481-102,Nike Waffle One,Older Kids' Shoes,"6,295","5,037"
145,https://www.nike.com/in/t/blazer-mid-77-emb-shoes-Bv4vz9/DN1718-300,Nike Blazer Mid '77 EMB,Shoes,"9,695","7,757"
146,https://www.nike.com/in/t/varsity-younger-shoe-0PGLBB/CN9393-001,Nike Varsity,Younger Kids' Shoe,"3,995","3,197"
147,https://www.nike.com/in/t/retro-gts-shoes-9NMjL5/DB2880-001,Nike Retro GTS,Women's Shoes,"4,995","3,997"
148,https://www.nike.com/in/t/yoga-luxe-high-waisted-7-8-infinalon-leggings-swJnzd/CJ3802-381,Nike Yoga Luxe,Women's High-Waisted 7/8 Infinalon Leggings,"3,995","3,197"
149,https://www.nike.com/in/t/blazer-low-shoes-PmgCt4/DA2045-201,Nike Blazer Low X,Men's Shoes,"8,195","6,557"
150,https://www.nike.com/in/t/waffle-one-shoes-Z3BFbK/DC2533-801,Nike Waffle One,Women's Shoes,"8,295","6,637"
151,https://www.nike.com/in/t/sb-skate-hoodie-CxJHDH/DH2882-410,Nike SB,Skate Hoodie,"3,795","3,037"
152,https://www.nike.com/in/t/liverpool-fc-2021-22-stadium-goalkeeper-older-football-jersey-b42TcH/DB2567-011,Liverpool F.C. 2021/22 Stadium Goalkeeper,Older Kids' Football Shirt,"3,995","3,197"
153,https://www.nike.com/in/t/sportswear-swoosh-short-sleeve-top-SQvD7F/DM6212-030,Nike Sportswear Swoosh,Women's Short-Sleeve Top,"2,595","2,077"
154,https://www.nike.com/in/t/jordan-flight-heritage-85-t-shirt-NMH4JM/DH8964-104,Jordan Flight Heritage '85,Men's T-Shirt,"2,695","2,157"
